"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"사직동 88",1,,광주광역시 남구 사직동 서동 261-98,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 89",1,,광주광역시 남구 사직동 서동 260-12,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 90",1,,광주광역시 남구 사직동 서동 259-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 91",1,,광주광역시 남구 사직동 서동 259-7,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 92",1,,광주광역시 남구 사직동 서동 256-39,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 93",1,,광주광역시 남구 사직동 서동 261-115,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 94",1,,광주광역시 남구 사직동 서동 264-25,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 95",1,,광주광역시 남구 사직동 서동 261-19,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 96",1,,광주광역시 남구 사직동 서동 261-24,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 97",1,,광주광역시 남구 사직동 서동 261-31,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 98",1,,광주광역시 남구 사직동 서동 261-27,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 99",1,,광주광역시 남구 사직동 서동 261-47,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 100",1,,광주광역시 남구 사직동 서동 261-55,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 101",1,,광주광역시 남구 사직동 서동 257-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 102",1,,광주광역시 남구 사직동 서동 261-56,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 103",1,,광주광역시 남구 사직동 서동 261-57,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 104",1,,광주광역시 남구 사직동 서동 261-58--261-60,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 105",1,,광주광역시 남구 사직동 서동 261-92,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 106",1,,광주광역시 남구 사직동 서동 256-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 107",1,,광주광역시 남구 사직동 구동 41,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 108",1,,광주광역시 남구 사직동 서동 264-28,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 109",1,,광주광역시 남구 사직동 서동 264-13,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 110",1,,광주광역시 남구 사직동 서동 268-9,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 111",1,,광주광역시 남구 사직동 서동 277-5,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 112",1,,광주광역시 남구 사직동 서동 277-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 113",1,,광주광역시 남구 사직동 서동 271-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 114",1,,광주광역시 남구 사직동 서동 267-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 115",1,,광주광역시 남구 사직동 서동 265,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 116",1,,광주광역시 남구 사직동 사동 58-7,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 117",1,,광주광역시 남구 사직동 서동 209,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 118",1,,광주광역시 남구 사직동 서동 209-8,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 119",1,,광주광역시 남구 사직동 서동 208-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 120",1,,광주광역시 남구 사직동 서동 203,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 121",1,,광주광역시 남구 사직동 서동 206-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 122",1,,광주광역시 남구 사직동 서동 199,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 123",1,,광주광역시 남구 사직동 서동 87,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 124",1,,광주광역시 남구 사직동 서동 88,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 125",1,,광주광역시 남구 사직동 서동 191-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 126",1,,광주광역시 남구 사직동 구동 37-154,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 127",1,,광주광역시 남구 사직동 서동 197-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 128",1,,광주광역시 남구 사직동 서동 195-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 129",1,,광주광역시 남구 사직동 서동 194,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 130",1,,광주광역시 남구 사직동 서동 223,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 131",1,,광주광역시 남구 사직동 서동 220-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 132",1,,광주광역시 남구 사직동 서동 210,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 133",1,,광주광역시 남구 사직동 서동 211,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 134",1,,광주광역시 남구 사직동 서동 138-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 135",1,,광주광역시 남구 사직동 서동 215,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 136",1,,광주광역시 남구 사직동 서동 248-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 137",1,,광주광역시 남구 사직동 서동 253-17,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 138",1,,광주광역시 남구 사직동 서동 251-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 139",1,,광주광역시 남구 사직동 서동 251-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 140",1,,광주광역시 남구 사직동 서동 251-5,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 141",1,,광주광역시 남구 사직동 서동 253-22,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 142",1,,광주광역시 남구 사직동 서동 77-5,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 143",1,,광주광역시 남구 사직동 서동 75-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 144",1,,광주광역시 남구 사직동 사동 110-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 145",1,,광주광역시 남구 사직동 서동 140,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 146",1,,광주광역시 남구 사직동 서동 29-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 147",1,,광주광역시 남구 사직동 서동 75-12,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 148",1,,광주광역시 남구 사직동 서동 72-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 149",1,,광주광역시 남구 사직동 서동 256-27,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 150",1,,광주광역시 남구 사직동 서동 65-25,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 151",1,,광주광역시 남구 사직동 사동 8-5,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 152",1,,광주광역시 남구 사직동 구동 37-109,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 153",1,,광주광역시 남구 사직동 구동 37-109,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 154",1,,광주광역시 남구 사직동 구동 37-103,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 155",1,,광주광역시 남구 사직동 구동 37-26,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 156",1,,광주광역시 남구 사직동 구동 37-75,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 157",1,,광주광역시 남구 사직동 구동 37-9,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 158",1,,광주광역시 남구 사직동 구동 37-162,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 159",1,,광주광역시 남구 사직동 구동 37-76,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 160",1,,광주광역시 남구 사직동 구동 37-83,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 161",1,,광주광역시 남구 사직동 구동 37-91,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 162",1,,광주광역시 남구 사직동 구동 37-19,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 163",1,,광주광역시 남구 사직동 구동 55-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 164",1,,광주광역시 남구 사직동 구동 38-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 165",1,,광주광역시 남구 사직동 구동 55-17,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 166",1,,광주광역시 남구 사직동 구동 54,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 167",1,,광주광역시 남구 사직동 구동 51-9,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 168",1,,광주광역시 남구 사직동 구동 53-11,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 169",1,,광주광역시 남구 사직동 구동 51-16,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 170",1,,광주광역시 남구 사직동 구동 51-11,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 171",1,,광주광역시 남구 사직동 구동 42-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 172",1,,광주광역시 남구 사직동 구동 51-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 173",1,,광주광역시 남구 사직동 구동 47-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 174",1,,광주광역시 남구 사직동 구동 37-38,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 175",1,,광주광역시 남구 사직동 구동 51-16,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 176",1,,광주광역시 남구 사직동 구동 67-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 177",1,,광주광역시 남구 사직동 구동 53-5,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 178",1,,광주광역시 남구 사직동 구동 57-19,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 179",1,,광주광역시 남구 사직동 구동 61-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 180",1,,광주광역시 남구 사직동 구동 57-15,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 181",1,,광주광역시 남구 사직동 구동 65,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 182",1,,광주광역시 남구 사직동 서동 252-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 183",1,,광주광역시 남구 사직동 구동 67-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 184",1,,광주광역시 남구 사직동 구동 67-18,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 185",1,,광주광역시 남구 사직동 구동 67-15,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 186",1,,광주광역시 남구 사직동 구동 24,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 187",1,,광주광역시 남구 사직동 서동 111-52,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 188",1,,광주광역시 남구 사직동 서동 97-11,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 189",1,,광주광역시 남구 사직동 구동 37-35,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 190",1,,광주광역시 남구 사직동 구동 8-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 191",1,,광주광역시 남구 사직동 구동 1-17,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 192",1,,광주광역시 남구 사직동 서동 32-8,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 193",1,,광주광역시 남구 사직동 서동 32-8,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 194",1,,광주광역시 남구 사직동 구동 24,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 196",1,,광주광역시 남구 사직동 서동 155-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 198",1,,광주광역시 남구 사직동 서동 156-5,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 199",1,,광주광역시 남구 사직동 서동 157-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 200",1,,광주광역시 남구 사직동 서동 181-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 201",1,,광주광역시 남구 사직동 서동 172-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 202",1,,광주광역시 남구 사직동 서동 175-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 203",1,,광주광역시 남구 사직동 서동 158,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 204",1,,광주광역시 남구 사직동 서동 160-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 205",1,,광주광역시 남구 사직동 서동 147-33,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 206",1,,광주광역시 남구 사직동 서동 147-24,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 207",1,,광주광역시 남구 사직동 서동 147-11,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 208",1,,광주광역시 남구 사직동 서동 147-18,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 209",1,,광주광역시 남구 사직동 서동 147-43,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 211",1,,광주광역시 남구 사직동 서동 145-8,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 212",1,,광주광역시 남구 사직동 서동 143-11,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 213",1,,광주광역시 남구 사직동 서동 143-15,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 214",1,,광주광역시 남구 사직동 서동 143-15,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 215",1,,광주광역시 남구 사직동 서동 145-17,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 216",1,,광주광역시 남구 사직동 서동 145-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 217",1,,광주광역시 남구 사직동 서동 124-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 218",1,,광주광역시 남구 사직동 서동 124-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 219",1,,광주광역시 남구 사직동 서동 147-27,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 220",1,,광주광역시 남구 사직동 서동 166,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 221",1,,광주광역시 남구 사직동 서동 163-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 222",1,,광주광역시 남구 사직동 서동 112-16,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 223",1,,광주광역시 남구 사직동 서동 112-16,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 224",1,,광주광역시 남구 사직동 서동 114-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 225",1,,광주광역시 남구 사직동 서동 164,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 226",1,,광주광역시 남구 사직동 서동 116-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 227",1,,광주광역시 남구 사직동 서동 123-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 228",1,,광주광역시 남구 사직동 서동 116-18,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 229",1,,광주광역시 남구 사직동 서동 117-6,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 230",1,,광주광역시 남구 사직동 서동 117-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 231",1,,광주광역시 남구 사직동 서동 121-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 232",1,,광주광역시 남구 사직동 서동 126-7,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 233",1,,광주광역시 남구 사직동 서동 121-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 234",1,,광주광역시 남구 사직동 서동 119-3,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 235",1,,광주광역시 남구 사직동 서동 119-10,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 236",1,,광주광역시 남구 사직동 서동 120-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 237",1,,광주광역시 남구 사직동 서동 121-2,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 238",1,,광주광역시 남구 사직동 서동 120-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 239",1,,광주광역시 남구 사직동 서동 111-28,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 240",1,,광주광역시 남구 사직동 서동 111-29,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 241",1,,광주광역시 남구 사직동 서동 111-13,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 242",1,,광주광역시 남구 사직동 서동 111-79,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 243",1,,광주광역시 남구 사직동 서동 54-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 244",1,,광주광역시 남구 사직동 서동 53-8,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 245",1,,광주광역시 남구 사직동 서동 55-1,,,,,062-607-3832,광주광역시 남구청,2020-03-18
"사직동 246",1,,광주광역시 남구 사직동 서동 53-4,,,,,062-607-3832,광주광역시 남구청,2020-03-18
