"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"옛진말길 26",1,경기도 광주시 도척면 옛진말길 26,경기도 광주시 도척면 진우리 103-5,37.32789276,127.3328164,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"옛진말길 26",1,경기도 광주시 도척면 옛진말길 26,경기도 광주시 도척면 진우리 103-5,37.32789276,127.3328164,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로107",1,경기도 광주시 곤지암읍 경충대로 107,경기도 광주시 곤지암읍 신촌리 224-2,37.32783948,127.388097,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로107",1,경기도 광주시 곤지암읍 경충대로 107,경기도 광주시 곤지암읍 신촌리 224-2,37.32783948,127.388097,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로107",1,경기도 광주시 곤지암읍 경충대로 107,경기도 광주시 곤지암읍 신촌리 224-2,37.32783948,127.388097,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로107",1,경기도 광주시 곤지암읍 경충대로 107,경기도 광주시 곤지암읍 신촌리 224-2,37.32783948,127.388097,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로107",1,경기도 광주시 곤지암읍 경충대로 107,경기도 광주시 곤지암읍 신촌리 224-2,37.32783948,127.388097,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로107",1,경기도 광주시 곤지암읍 경충대로 107,경기도 광주시 곤지암읍 신촌리 224-2,37.32783948,127.388097,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로107",1,경기도 광주시 곤지암읍 경충대로 107,경기도 광주시 곤지암읍 신촌리 224-2,37.32783948,127.388097,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로107",1,경기도 광주시 곤지암읍 경충대로 107,경기도 광주시 곤지암읍 신촌리 224-2,37.32783948,127.388097,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로107",1,경기도 광주시 곤지암읍 경충대로 107,경기도 광주시 곤지암읍 신촌리 224-2,37.32783948,127.388097,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로107",1,경기도 광주시 곤지암읍 경충대로 107,경기도 광주시 곤지암읍 신촌리 224-2,37.32783948,127.388097,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로107",1,경기도 광주시 곤지암읍 경충대로 107,경기도 광주시 곤지암읍 신촌리 224-2,37.32783948,127.388097,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로107",1,경기도 광주시 곤지암읍 경충대로 107,경기도 광주시 곤지암읍 신촌리 224-2,37.32783948,127.388097,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로295번길100-7",1,경기도 광주시 곤지암읍 경충대로295번길 100-7,경기도 광주시 곤지암읍 수양리 394-5,37.32794139,127.3680107,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길72-4",1,경기도 광주시 곤지암읍 구수동길 72-4,경기도 광주시 곤지암읍 수양리 344-8,37.3279199,127.3758645,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로59번길19",1,경기도 광주시 곤지암읍 경충대로59번길 19,경기도 광주시 곤지암읍 신촌리 135-6,37.32777619,127.3950823,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 19번길 9-4",1,경기도 광주시 도척면 얼음골길19번길 9-4,경기도 광주시 도척면 도웅리 49-17,37.32819738,127.3073683,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척로275",1,경기도 광주시 도척면 도척로 275,경기도 광주시 도척면 진우리 128-1,37.32810918,127.3376666,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척로275",1,경기도 광주시 도척면 도척로 275,경기도 광주시 도척면 진우리 128-1,37.32810918,127.3376666,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척로275",1,경기도 광주시 도척면 도척로 275,경기도 광주시 도척면 진우리 128-1,37.32810918,127.3376666,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척로330번길 57-1",1,경기도 광주시 도척면 도척로330번길 57-1,경기도 광주시 도척면 진우리 111-1,37.32806592,127.334767,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로87",1,경기도 광주시 곤지암읍 경충대로 87,경기도 광주시 곤지암읍 신촌리 177,37.3279308,127.3900823,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로135-15",1,경기도 광주시 곤지암읍 경충대로 135-15,경기도 광주시 곤지암읍 신촌리 240-5,37.3280371,127.3844958,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"옛진말길 20-3",1,경기도 광주시 도척면 옛진말길 20-3,경기도 광주시 도척면 진우리 102-4,37.32812716,127.3328369,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로59번길15",1,경기도 광주시 곤지암읍 경충대로59번길 15,경기도 광주시 곤지암읍 신촌리 136,37.32798107,127.394618,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 351",1,경기도 광주시 도척면 도척윗로 351,경기도 광주시 도척면 도웅리 73-5,37.32811438,127.3101337,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로59번길13",1,경기도 광주시 곤지암읍 경충대로59번길 13,경기도 광주시 곤지암읍 신촌리 137-2,37.32810642,127.3944591,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로59번길4",1,경기도 광주시 곤지암읍 경충대로59번길 4,경기도 광주시 곤지암읍 신촌리 200-4,37.32814536,127.3932626,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길11번길61",1,경기도 광주시 곤지암읍 구수동길11번길 61,경기도 광주시 곤지암읍 수양리 307-11,37.32825086,127.3788295,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길11번길61",1,경기도 광주시 곤지암읍 구수동길11번길 61,경기도 광주시 곤지암읍 수양리 307-11,37.32825086,127.3788295,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길19번길 8",1,경기도 광주시 도척면 얼음골길19번길 8,경기도 광주시 도척면 도웅리 47,37.32861698,127.3066987,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 19번길 5",1,경기도 광주시 도척면 얼음골길19번길 5,경기도 광주시 도척면 도웅리 53-3,37.3286283,127.3070936,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 345",1,경기도 광주시 도척면 도척윗로 345,경기도 광주시 도척면 도웅리 73-4,37.32860154,127.3102308,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"옛진말길 14",1,경기도 광주시 도척면 옛진말길 14,경기도 광주시 도척면 진우리 102-8,37.32856893,127.3328782,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로135-12",1,경기도 광주시 곤지암읍 경충대로 135-12,경기도 광주시 곤지암읍 수양리 80,37.32841981,127.3835787,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"곤지암읍 신촌리 189-3",1,,경기도 광주시 곤지암읍 신촌리 189-3,37.32848464,127.3924057,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"곤지암읍 신촌리 189-3",1,,경기도 광주시 곤지암읍 신촌리 189-3,37.32848464,127.3924057,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"곤지암읍 신촌리 189-3",1,,경기도 광주시 곤지암읍 신촌리 189-3,37.32848464,127.3924057,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 23",1,경기도 광주시 도척면 얼음골길 23,경기도 광주시 도척면 도웅리 55-5,37.32902377,127.3069207,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로295번길89",1,경기도 광주시 곤지암읍 경충대로295번길 89,경기도 광주시 곤지암읍 수양리 398,37.32882797,127.3686691,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 16",1,경기도 광주시 도척면 얼음골길 16,경기도 광주시 도척면 도웅리 66-1,37.329057,127.3079811,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 47-9",1,경기도 광주시 도척면 얼음골길 47-9,경기도 광주시 도척면 도웅리 43-9,37.32910226,127.3033993,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"옛진말길 14-22",1,경기도 광주시 도척면 옛진말길 14-22,경기도 광주시 도척면 진우리 103-8,37.32903373,127.3322083,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 29",1,경기도 광주시 도척면 얼음골길 29,경기도 광주시 도척면 도웅리 55,37.32918247,127.3063212,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 333",1,경기도 광주시 도척면 도척윗로 333,경기도 광주시 도척면 도웅리 72-1,37.32936507,127.3098176,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 333",1,경기도 광주시 도척면 도척윗로 333,경기도 광주시 도척면 도웅리 72-1,37.32936507,127.3098176,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로28-23",1,경기도 광주시 곤지암읍 경충대로 28-23,경기도 광주시 곤지암읍 신촌리 94,37.3288934,127.398594,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로28-23",1,경기도 광주시 곤지암읍 경충대로 28-23,경기도 광주시 곤지암읍 신촌리 94,37.3288934,127.398594,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로28-23",1,경기도 광주시 곤지암읍 경충대로 28-23,경기도 광주시 곤지암읍 신촌리 94,37.3288934,127.398594,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"신만로5-4",1,경기도 광주시 곤지암읍 신만로 5-4,경기도 광주시 곤지암읍 신촌리 173-1,37.32887617,127.389928,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길51-16",1,경기도 광주시 구수동길51-16,경기도 광주시 곤지암읍 수양리 334-6 숲속마을주택,37.32907007,127.3769609,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길51-16",1,경기도 광주시 구수동길51-16,경기도 광주시 곤지암읍 수양리 334-6 숲속마을주택,37.32907007,127.3769609,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척로275",1,경기도 광주시 도척면 도척로 275,경기도 광주시 도척면 진우리 128-1,37.32810918,127.3376666,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 10",1,경기도 광주시 도척면 얼음골길 10,경기도 광주시 도척면 도웅리 66-7,37.32932147,127.3085203,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"옛진말길 14-18",1,경기도 광주시 도척면 옛진말길 14-18,경기도 광주시 도척면 진우리 103-2,37.32922308,127.3322292,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로295번길86-18",1,경기도 광주시 곤지암읍 경충대로295번길 86-18,경기도 광주시 곤지암읍 수양리 397-1,37.32926564,127.3679432,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길11번길47",1,경기도 광주시 곤지암읍 구수동길11번길 47,경기도 광주시 곤지암읍 수양리 308-4,37.32925857,127.3785391,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 46",1,경기도 광주시 도척면 얼음골길 46,경기도 광주시 도척면 도웅리 41,37.32941616,127.3046828,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 24뒤",1,경기도 광주시 도척면 얼음골길 24,경기도 광주시 도척면 도웅리 54,37.3292858,127.3070424,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 44",1,경기도 광주시 도척면 얼음골길 44,경기도 광주시 도척면 도웅리 40,37.32945313,127.3048405,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"옛진말길 6",1,경기도 광주시 도척면 옛진말길 6,경기도 광주시 도척면 진우리 100-19,37.32941066,127.3335365,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"옛진말길 6",1,경기도 광주시 도척면 옛진말길 6,경기도 광주시 도척면 진우리 100-19,37.32941066,127.3335365,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 40",1,경기도 광주시 도척면 얼음골길 40,경기도 광주시 도척면 도웅리 35,37.32954674,127.3054377,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 40",1,경기도 광주시 도척면 얼음골길 40,경기도 광주시 도척면 도웅리 35,37.32954674,127.3054377,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길51-6",1,경기도 광주시 곤지암읍 구수동길 51-6,경기도 광주시 곤지암읍 수양리 334-1,37.32934756,127.3766088,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 338-20",1,경기도 광주시 도척면 도척윗로 338-20,경기도 광주시 도척면 도웅리 65-1,37.32958303,127.308563,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 328-21",1,경기도 광주시 도척면 도척윗로 328-21,경기도 광주시 도척면 도웅리 60,37.32966005,127.3078627,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"새재길28-24",1,경기도 광주시 곤지암읍 새재길 28-24,경기도 광주시 곤지암읍 신촌리 111-4 정진주택,37.32935416,127.3970557,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 42-3",1,경기도 광주시 도척면 얼음골길 42-3,경기도 광주시 도척면 도웅리 36,37.32973418,127.3051313,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 329",1,경기도 광주시 도척면 도척윗로 329,경기도 광주시 도척면 도웅리 70-1,37.32975265,127.3098366,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 334-3",1,경기도 광주시 도척면 도척윗로 334-3,경기도 광주시 도척면 도웅리 67,37.32981165,127.3091365,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길42-16",1,경기도 광주시 곤지암읍 구수동길 42-16,경기도 광주시 곤지암읍 수양리 335-6,37.3296768,127.3758162,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 47-24",1,경기도 광주시 도척면 얼음골길 47-24,경기도 광주시 도척면 도웅리 27,37.32981852,127.3026141,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 47-24",1,경기도 광주시 도척면 얼음골길 47-24,경기도 광주시 도척면 도웅리 27,37.32981852,127.3026141,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 47-24",1,경기도 광주시 도척면 얼음골길 47-24,경기도 광주시 도척면 도웅리 27,37.32981852,127.3026141,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길11번길36",1,경기도 광주시 곤지암읍 구수동길11번길 36,경기도 광주시 곤지암읍 수양리 309-12,37.32997261,127.3772356,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로295번길79",1,경기도 광주시 곤지암읍 경충대로295번길 79,경기도 광주시 곤지암읍 수양리 399-5,37.32995706,127.3691787,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척면 도웅리 82-2",1,,경기도 광주시 도척면 도웅리 82-2,37.32996046,127.3104408,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척로254",1,경기도 광주시 도척면 도척로 254,경기도 광주시 도척면 진우리 91-1,37.33006113,127.3370515,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"신만로17",1,경기도 광주시 곤지암읍 신만로 17,경기도 광주시 곤지암읍 신촌리 215-3,37.32975316,127.3904964,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"신만로17",1,경기도 광주시 곤지암읍 신만로 17,경기도 광주시 곤지암읍 신촌리 215-3,37.32975316,127.3904964,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 325",1,경기도 광주시 도척면 도척윗로 325,경기도 광주시 도척면 도웅리 84-1,37.33010485,127.3099688,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 328-35",1,경기도 광주시 도척면 도척윗로 328-35,경기도 광주시 도척면 도웅리 60-3,37.33009696,127.3086148,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"새재길28-25",1,경기도 광주시 곤지암읍 새재길 28-25,경기도 광주시 곤지암읍 신촌리 124-2,37.32994886,127.397051,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"새재길28-25",1,경기도 광주시 곤지암읍 새재길 28-25,경기도 광주시 곤지암읍 신촌리 124-2,37.32994886,127.397051,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길47",1,경기도 광주시 곤지암읍 구수동길 47,경기도 광주시 곤지암읍 수양리 309-28,37.32999662,127.3766599,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 328-12",1,경기도 광주시 도척면 도척윗로 328-12,경기도 광주시 도척면 도웅리 64,37.33020805,127.3091215,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 47-52",1,경기도 광주시 도척면 얼음골길 47-52,경기도 광주시 도척면 도웅리 28-12,37.33024168,127.3025538,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 47-52",1,경기도 광주시 도척면 얼음골길 47-52,경기도 광주시 도척면 도웅리 28-12,37.33024168,127.3025538,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 36-23",1,경기도 광주시 도척면 얼음골길 36-23,경기도 광주시 도척면 도웅리 30,37.33028157,127.3047426,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"신만로24",1,경기도 광주시 곤지암읍 신만로 24,경기도 광주시 곤지암읍 신촌리 207,37.33007006,127.3925476,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"신만로24",1,경기도 광주시 곤지암읍 신만로 24,경기도 광주시 곤지암읍 신촌리 207,37.33007006,127.3925476,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 323",1,경기도 광주시 도척면 도척윗로 323,경기도 광주시 도척면 도웅리 84-5,37.3303676,127.3102147,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로184번길24-7",1,경기도 광주시 곤지암읍 경충대로184번길 24-7,경기도 광주시 곤지암읍 수양리 73-3,37.33038759,127.3842284,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 328-43",1,경기도 광주시 도척면 도척윗로 328-43,경기도 광주시 도척면 도웅리 62,37.33044738,127.3084423,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 328-43뒤",1,경기도 광주시 도척면 도척윗로 328-43,경기도 광주시 도척면 도웅리 62,37.33044738,127.3084423,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척면 도웅리 31",1,경기도 광주시 도척면 얼음골길 36-34,경기도 광주시 도척면 도웅리 31,37.33046032,127.3052751,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길11번길30",1,경기도 광주시 곤지암읍 구수동길11번길 30,경기도 광주시 곤지암읍 수양리 309-5,37.33038609,127.3770403,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길11번길30",1,경기도 광주시 곤지암읍 구수동길11번길 30,경기도 광주시 곤지암읍 수양리 309-5,37.33038609,127.3770403,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 62",1,경기도 광주시 도척면 얼음골길 62,경기도 광주시 도척면 도웅리 111-2,37.33056772,127.3043676,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 62",1,경기도 광주시 도척면 얼음골길 62,경기도 광주시 도척면 도웅리 111-2,37.33056772,127.3043676,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척윗로 319",1,경기도 광주시 도척면 도척윗로 319,경기도 광주시 도척면 도웅리 85-1,37.33063831,127.3102799,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"얼음골길 47-31",1,경기도 광주시 도척면 얼음골길 47-31,경기도 광주시 도척면 도웅리 28-8,37.33053477,127.3018289,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로184번길56-19",1,경기도 광주시 곤지암읍 경충대로184번길 56-19,경기도 광주시 곤지암읍 수양리 71,37.33042947,127.3870943,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"경충대로184번길56-19",1,경기도 광주시 곤지암읍 경충대로184번길 56-19,경기도 광주시 곤지암읍 수양리 71,37.33042947,127.3870943,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척면 진우리 86-1",1,경기도 광주시 도척면 다람로57번길 155,경기도 광주시 도척면 진우리 86-1,37.33056915,127.335244,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척면 궁평리 186",1,,경기도 광주시 도척면 궁평리 186,37.33071144,127.329445,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척면 궁평리 186",1,,경기도 광주시 도척면 궁평리 186,37.33071144,127.329445,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"새재길28-58",1,경기도 광주시 곤지암읍 새재길 28-58,경기도 광주시 곤지암읍 신촌리 119-1,37.33070033,127.3995276,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"새재길28-58",1,경기도 광주시 곤지암읍 새재길 28-58,경기도 광주시 곤지암읍 신촌리 119-1,37.33070033,127.3995276,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길37",1,경기도 광주시 곤지암읍 구수동길 37,경기도 광주시 곤지암읍 수양리 309-22,37.3307327,127.3761234,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"도척로244",1,경기도 광주시 도척면 도척로 244,경기도 광주시 도척면 진우리 48-9,37.33089281,127.3375294,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"구수동길26-11",1,경기도 광주시 곤지암읍 구수동길 26-11,경기도 광주시 곤지암읍 수양리 244-5,37.33082237,127.3743285,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"새재길29",1,경기도 광주시 곤지암읍 새재길 29,경기도 광주시 곤지암읍 신촌리 37,37.33073657,127.3960178,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"새재길29",1,경기도 광주시 곤지암읍 새재길 29,경기도 광주시 곤지암읍 신촌리 37,37.33073657,127.3960178,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"새재길29",1,경기도 광주시 곤지암읍 새재길 29,경기도 광주시 곤지암읍 신촌리 37,37.33073657,127.3960178,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"새재길29",1,경기도 광주시 곤지암읍 새재길 29,경기도 광주시 곤지암읍 신촌리 37,37.33073657,127.3960178,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
"새재길29",1,경기도 광주시 곤지암읍 새재길 29,경기도 광주시 곤지암읍 신촌리 37,37.33073657,127.3960178,2015,한전주,031-760-2173,경기도 광주시청,2019-08-23
